ICD-10 Code,GI Disease,On DDB?,Causes
C18,Malignant Neoplasm of Colon,2975,Colonic tubular adenomata
C18,Malignant Neoplasm of Colon,2975,Colonic villous adenomata
C18,Malignant Neoplasm of Colon,2975,Familial adenomatous polyposis
C18,Malignant Neoplasm of Colon,2975,Growth hormone secreting pituitary adenoma
C18,Malignant Neoplasm of Colon,2975,Hereditary nonpolyposis colorectal cancer
C18,Malignant Neoplasm of Colon,2975,Muir-Torre syndrome
C18,Malignant Neoplasm of Colon,2975,Turcot syndrome
C18,Malignant Neoplasm of Colon,2975,Ulcerative colitis
C20,Malignant Neoplasm of Rectum,2975,Colonic tubular adenomata
C20,Malignant Neoplasm of Rectum,2975,Colonic villous adenomata
C20,Malignant Neoplasm of Rectum,2975,Familial adenomatous polyposis
C20,Malignant Neoplasm of Rectum,2975,Growth hormone secreting pituitary adenoma
C20,Malignant Neoplasm of Rectum,2975,Hereditary nonpolyposis colorectal cancer
C20,Malignant Neoplasm of Rectum,2975,Muir-Torre syndrome
C20,Malignant Neoplasm of Rectum,2975,Turcot syndrome
C20,Malignant Neoplasm of Rectum,2975,Ulcerative colitis
K20,Esophagitis,9182,Barrett oesophagus
K20,Esophagitis,9182,Candida albicans
K20,Esophagitis,9182,Cytomegalovirus
K20,Esophagitis,9182,Esophageal achalasia
K20,Esophagitis,9182,Gastroesophageal reflux
K20,Esophagitis,9182,Hiatus hernia
K20,Esophagitis,9182,HIV-1 disease
K20,Esophagitis,9182,Rumination disorder
K21,Gastro-oesophageal Reflux Disease,23596,Autonomic neuropathy
K21,Gastro-oesophageal Reflux Disease,23596,Esophageal achalasia
K21,Gastro-oesophageal Reflux Disease,23596,Hereditary sensory and autonomic neuropathy type 1B
K21,Gastro-oesophageal Reflux Disease,23596,Hiatus hernia
K21,Gastro-oesophageal Reflux Disease,23596,Pharyngeal pouch
K21,Gastro-oesophageal Reflux Disease,23596,Systemic sclerosis
K22.1,Ulcer of Oesophagus,,
K22.2,Oesophageal Obstruction,31502,Epidermolysis bullosa acquisita
K22.2,Oesophageal Obstruction,31502,"Epidermolysis bullosa dystrophica, Hallopeau-Siemens type"
K22.2,Oesophageal Obstruction,31502,Iron compounds
K22.2,Oesophageal Obstruction,31502,Oesophageal cancer
K22.2,Oesophageal Obstruction,31502,Oesophagitis
K22.2,Oesophageal Obstruction,31502,Stomach cancer
K22.2,Oesophageal Obstruction,31502,Systemic sclerosis
K22.7,Barrett's Oesophagus,1246,Gastroesophageal reflux
K25,Gastric Ulcer,5115,Gastric polyp (hyperplastic)
K25,Gastric Ulcer,5115,Gastric polypoid adenoma
K25,Gastric Ulcer,5115,Helicobacter pylori
K25,Gastric Ulcer,5115,"Leiomyoma, gastric"
