ICD-10 Code,GI Disease,On DDB?,Symptoms
C20,Malignant Neoplasm of Rectum,2975,Abdominal mass
C20,Malignant Neoplasm of Rectum,2975,Abdominal pain
C20,Malignant Neoplasm of Rectum,2975,Ascites
C20,Malignant Neoplasm of Rectum,2975,Back pain
C20,Malignant Neoplasm of Rectum,2975,Bowel obstruction
C20,Malignant Neoplasm of Rectum,2975,Cachexia
C20,Malignant Neoplasm of Rectum,2975,CEA raised
C20,Malignant Neoplasm of Rectum,2975,Cerebral metastases
C20,Malignant Neoplasm of Rectum,2975,Constipation
C20,Malignant Neoplasm of Rectum,2975,Cutaneous metastasis
C20,Malignant Neoplasm of Rectum,2975,Diarrhoea
C20,Malignant Neoplasm of Rectum,2975,Gastrointestinal bleeding
C20,Malignant Neoplasm of Rectum,2975,Gastrointestinal polyps
C20,Malignant Neoplasm of Rectum,2975,Hepatomegaly
C20,Malignant Neoplasm of Rectum,2975,Hiccups
C20,Malignant Neoplasm of Rectum,2975,Intestinal stricture
C20,Malignant Neoplasm of Rectum,2975,Intususception of intestine
C20,Malignant Neoplasm of Rectum,2975,Liver metastases
C20,Malignant Neoplasm of Rectum,2975,Lymphadenopathy
C20,Malignant Neoplasm of Rectum,2975,Nausea and vomiting
C20,Malignant Neoplasm of Rectum,2975,Peritonitis
C20,Malignant Neoplasm of Rectum,2975,Rectovaginal fistula
C20,Malignant Neoplasm of Rectum,2975,Rectovesical fistula
C20,Malignant Neoplasm of Rectum,2975,Sister Mary Joseph nodule
C20,Malignant Neoplasm of Rectum,2975,Sweet syndrome
C20,Malignant Neoplasm of Rectum,2975,Tenesmus
C20,Malignant Neoplasm of Rectum,2975,Toxic megacolon
C20,Malignant Neoplasm of Rectum,2975,Ureteric obstruction
C18,Malignant Neoplasm of Colon,2975,Abdominal mass
C18,Malignant Neoplasm of Colon,2975,Abdominal pain
C18,Malignant Neoplasm of Colon,2975,Ascites
C18,Malignant Neoplasm of Colon,2975,Back pain
C18,Malignant Neoplasm of Colon,2975,Bowel obstruction
C18,Malignant Neoplasm of Colon,2975,Cachexia
C18,Malignant Neoplasm of Colon,2975,CEA raised
C18,Malignant Neoplasm of Colon,2975,Cerebral metastases
C18,Malignant Neoplasm of Colon,2975,Constipation
C18,Malignant Neoplasm of Colon,2975,Cutaneous metastasis
C18,Malignant Neoplasm of Colon,2975,Diarrhoea
C18,Malignant Neoplasm of Colon,2975,Gastrointestinal bleeding
C18,Malignant Neoplasm of Colon,2975,Gastrointestinal polyps
C18,Malignant Neoplasm of Colon,2975,Hepatomegaly
C18,Malignant Neoplasm of Colon,2975,Hiccups
C18,Malignant Neoplasm of Colon,2975,Intestinal stricture
C18,Malignant Neoplasm of Colon,2975,Intususception of intestine
C18,Malignant Neoplasm of Colon,2975,Liver metastases
C18,Malignant Neoplasm of Colon,2975,Lymphadenopathy
C18,Malignant Neoplasm of Colon,2975,Nausea and vomiting
C18,Malignant Neoplasm of Colon,2975,Peritonitis
C18,Malignant Neoplasm of Colon,2975,Rectovaginal fistula
C18,Malignant Neoplasm of Colon,2975,Rectovesical fistula
C18,Malignant Neoplasm of Colon,2975,Sister Mary Joseph nodule
C18,Malignant Neoplasm of Colon,2975,Sweet syndrome
C18,Malignant Neoplasm of Colon,2975,Tenesmus
C18,Malignant Neoplasm of Colon,2975,Toxic megacolon
C18,Malignant Neoplasm of Colon,2975,Ureteric obstruction
K20,Esophagitis,9182,Abdominal pain
K20,Esophagitis,9182,Chest pain
K20,Esophagitis,9182,Dysphagia
K20,Esophagitis,9182,Esophageal stricture
K20,Esophagitis,9182,Gastroduodenal ulcers
K21,Gastro-oesophageal Reflux Disease,23596,Abdominal pain
K21,Gastro-oesophageal Reflux Disease,23596,Chest pain
K21,Gastro-oesophageal Reflux Disease,23596,Cough
K21,Gastro-oesophageal Reflux Disease,23596,Dysphagia
K21,Gastro-oesophageal Reflux Disease,23596,Oesophagitis
K22.1,Ulcer of Oesophagus,,
K22.2,Oesophageal Obstruction,31502,Dysphagia
K22.2,Oesophageal Obstruction,31502,Gastric content aspiration
K22.7,Barrett's Oesophagus,1246,Dysphagia
K22.7,Barrett's Oesophagus,1246,Oesophagitis
K25,Gastric Ulcer,5115,Abdominal pain
K25,Gastric Ulcer,5115,Chest pain
